Stil,Artist,Track,Beliebtheit,Akustik,Tanzbarkeit,Dauer
R&B,Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",65,0.0174,0.751,264847
R&B,Tierra Whack,CLONES,61,0.184,0.791,171392
R&B,Jessie Reyez,Body Count (feat. Normani & Kehlani) - Remix,62,0.458,0.703,158947
R&B,6LACK,Disconnect,65,0.576,0.457,265883
R&B,SZA,Childs Play (feat. Chance the Rapper),65,0.775,0.759,216234
R&B,Kyle Dion,Brown,63,0.0759,0.546,234759
R&B,Roy Woods,Get You Good,68,0.0306,0.69,226632
R&B,Tove Lo,Habits (Stay High),67,0.0703,0.733,209160
R&B,James Blake,Can't Believe The Way We Flow,65,0.705,0.259,267200
R&B,Joji,SLOW DANCING IN THE DARK - Loud Luxury Remix,65,0.00616,0.752,176414
R&B,Jennifer Lopez,Dinero,70,0.41,0.721,213750
R&B,Rihanna,Hate That I Love You,72,0.323,0.637,218947
R&B,Miguel,Remember Me (DÃºo),66,0.426,0.612,164453
R&B,TLC,Creep,68,0.0193,0.811,268533
R&B,PARTYNEXTDOOR,Wus Good / Curious,67,0.0727,0.344,212880
R&B,MIKExANGEL,Complicated,64,0.107,0.577,192984
R&B,Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",68,0.46,0.513,186893
R&B,Tory Lanez,S.w.I.n.G (feat. PnB Rock & Trey Songz),67,0.244,0.621,278515
R&B,Chris Brown,Privacy,68,0.153,0.741,220964
R&B,Alina Baraz,Lavender and Velvet,62,0.401,0.684,228966
R&B,Dreezy,Body,62,0.552,0.735,232707
R&B,T-Pain,Here It Comes (feat. Russ),57,0.0332,0.716,222004
R&B,PJ Morton,Say So (feat. JoJo),63,0.591,0.502,212973
R&B,Tom Misch,Movie,67,0.391,0.785,357357
R&B,Usher,OMG (feat. will.i.am),70,0.198,0.781,269493
R&B,Jeremih,All The Time,70,0.53,0.679,264200
R&B,Dijon,Skin,62,0.512,0.674,230625
R&B,Yuna,Crush,65,0.366,0.678,243133
R&B,Keri Hilson,Pretty Girl Rock,64,0.203,0.666,243920
R&B,Steve Lacy,Some,63,0.00548,0.784,118393
R&B,The Japanese House,Saw You In A Dream,62,0.0729,0.605,208280
R&B,T-Pain,A Million Times (feat. O.T. Genasis),59,0.0761,0.738,293345
R&B,Tory Lanez,KeeP IN tOUcH (feat. Bryson Tiller),68,0.305,0.539,199627
R&B,The Weeknd,Attention,67,0.682,0.671,197653
R&B,H.E.R.,2,61,0.313,0.794,188987
R&B,T-Pain,RIP to the Parking Lot (feat. Boosie Badazz),57,0.0227,0.769,242250
R&B,City Girls,Season (feat. Lil Baby),61,0.0101,0.595,202943
R&B,Brent Faiyaz,Lovely,60,0.575,0.385,291098
R&B,Jacquees,Inside feat. Trey Songz,64,0.0163,0.71,248467
R&B,JP Saxe,The Few Things (with Charlotte Lawrence),67,0.64,0.536,211567
R&B,Chingy,Right Thurr,70,0.15,0.866,249800
R&B,H.E.R.,I'm Not OK,60,0.865,0.535,205973
R&B,Wale,Lotus Flower Bomb (feat. Miguel),65,0.611,0.512,213253
R&B,Kiana LedÃ©,Wicked Games,62,0.447,0.789,181267
R&B,Iggy Azalea,Black Widow,65,0.181,0.741,209423
R&B,Kelly Clarkson,Love So Soft,67,0.0053,0.808,172427
R&B,PARTYNEXTDOOR,Not Nice,69,0.0253,0.598,202661
R&B,Tory Lanez,Pa Mi (with Ozuna),71,0.0983,0.596,216689
R&B,The Weeknd,A Lonely Night,68,0.0431,0.853,220173
R&B,Nina Sky,Move Ya Body,66,0.0234,0.876,232000
R&B,Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap),70,0.023,0.689,210573
R&B,Rihanna,SOS,69,0.004,0.677,238920
R&B,Jason Derulo,Ridin' Solo,63,0.128,0.442,215747
R&B,DJ Khaled,All I Do Is Win,70,0.0104,0.549,227293
R&B,Demi Lovato,You Don't Do It For Me Anymore,66,0.0978,0.583,197720
R&B,Nao,If You Ever (feat. 6LACK),65,0.0895,0.488,221736
R&B,Adrian Marcel,2AM.,61,0.0523,0.849,237653
R&B,Mario,How Do I Breathe,67,0.215,0.684,216893
R&B,Jagged Edge,Where the Party At,70,0.31,0.596,232573
R&B,T-Pain,1UP (feat. Profit Dinero),56,0.0236,0.705,273810
R&B,Ari Lennox,40 Shades of Choke,62,0.619,0.733,212670
R&B,Big Sean,Go Legend (& Metro Boomin),67,0.0167,0.656,268947
R&B,bLAck pARty,Bloom,61,0.261,0.749,302001
R&B,Olivia O'Brien,Love Myself - Acoustic,28,0.779,0.78,216507
R&B,GoldLink,Got Friends,67,0.104,0.691,226963
R&B,Raveena,If Only,63,0.465,0.759,201334
R&B,Trevor Daniel,Falling (blackbear Remix),63,0.121,0.803,171968
R&B,T-Pain,Be Your X,31,0.019,0.514,176553
R&B,Tinashe,Like I Used To,66,0.571,0.717,187537
R&B,Peter CottonTale,Forever Always,61,0.852,0.362,215160
R&B,DaniLeigh,Lil Bebe,62,0.0353,0.835,174093
R&B,Ty Dolla $ign,Paranoid (feat. B.o.B),63,0.00888,0.858,216520
R&B,James Blake,Are You In Love?,65,0.723,0.557,197600
R&B,Dreezy,Ecstasy (feat. Jeremih),65,0.261,0.889,187061
R&B,Snoh Aalegra,I Want You Around,61,0.362,0.705,213293
R&B,Zara Larsson,Ain't My Fault,74,0.00778,0.576,224031
R&B,BeyoncÃ©,Countdown,66,0.308,0.665,212147
R&B,Jarreau Vandal,Someone That You Love,64,0.558,0.737,177063
R&B,Alina Baraz,Unfold,61,0.672,0.63,272143
R&B,The Carters,NICE,60,0.092,0.912,233680
R&B,Trey Songz,Neighbors Know My Name,63,0.0379,0.663,186307
R&B,T-Pain,U Up,55,0.0076,0.647,157390
R&B,BJ The Chicago Kid,Roses,64,0.38,0.655,181144
R&B,SZA,Prom,64,0.0658,0.805,196133
R&B,James Blake,Power On,65,0.849,0.649,246400
R&B,Sabrina Claudio,Orion's Belt,61,0.856,0.531,197333
R&B,H.E.R.,Say It Again,61,0.725,0.324,172240
R&B,T-Pain,All I Want (feat. Flipp Dinero),55,0.186,0.514,161239
R&B,Daniel Caesar,Violet,62,0.748,0.688,144000
R&B,The Weeknd,Nothing Without You,67,0.064,0.599,198653
R&B,Sevyn Streeter,"Anything U Want (feat. Wiz Khalifa, Jeremih & Ty Dolla $ign)",65,0.0308,0.684,214254
R&B,Orion Sun,Antidote,60,0.161,0.506,169756
R&B,John Legend,Love Me Now,68,0.591,0.488,210293
R&B,BeyoncÃ©,Dance for You,66,0.0322,0.616,377467
R&B,Demi Lovato,Give Your Heart a Break,66,0.236,0.643,205347
R&B,Labrinth,Beneath Your Beautiful,60,0.228,0.558,271813
R&B,Yo Trane,High off You,62,0.472,0.631,179293
R&B,Twista,Overnight Celebrity,67,0.182,0.828,233360
R&B,Fifth Harmony,That's My Girl,71,0.0358,0.596,204013
R&B,Ravyn Lenae,Sticky,62,0.0339,0.712,196755
R&B,Mario,Just a Friend 2002 - Radio Edit,64,0.00541,0.538,214200
R&B,Monica,So Gone,63,0.176,0.618,242773
R&B,Ne-Yo,Sexy Love,68,0.265,0.622,220853
R&B,Mariah Carey,Caution,65,0.364,0.71,195867
R&B,Mario,Drowning,66,0.277,0.516,218627
R&B,August Alsina,Kissin' On My Tattoos,63,0.00648,0.577,251893
R&B,T-Pain,It's My Dog Birthday,53,0.000582,0.604,211861
R&B,Doja Cat,Go To Town,64,0.0716,0.71,217813
R&B,Arin Ray,Reckless,61,0.257,0.686,233266
R&B,Usher,Confessions Part II - Confessions Special Edition Version,68,0.0586,0.845,211200
R&B,HONNE,Day 1 â—‘,67,0.21,0.503,233601
R&B,Madison Beer,Fools,68,0.028,0.743,218460
R&B,Bryson Tiller,Overtime,64,0.254,0.657,218253
R&B,Ellie Goulding,On My Mind,63,0.258,0.702,213445
R&B,Summer Walker,Wasted,60,0.449,0.714,154983
R&B,Ama Lou,Tried Up,62,0.855,0.688,176327
R&B,Charli XCX,Boys,72,0.0646,0.867,162586
R&B,Ella Mai,Own It,61,0.112,0.527,251497
R&B,Annmarie,Handle It,60,0.717,0.649,195254
R&B,Jason Derulo,It Girl,71,0.0165,0.668,192200
R&B,James Blake,Assume Form,65,0.886,0.413,289600
R&B,T-Pain,Keep This from Me,53,0.0871,0.51,147376
R&B,Chris Brown,Grass Ain't Greener,67,0.388,0.644,201422
R&B,Ty Dolla $ign,Ex (feat. YG),66,0.0116,0.77,163133
R&B,Jorja Smith,Teenage Fantasy,68,0.47,0.583,226906
R&B,The Weeknd,All I Know,66,0.418,0.469,321027
R&B,Tobi Lou,Buff Baby,62,0.19,0.736,215385
R&B,Frank Ocean,Bad Religion,61,0.779,0.276,175453
R&B,Chris Brown,Back To Sleep,66,0.0424,0.647,201253
Movie,Les HÃ©rissons,Le fiacre,0,0.0103,0.651,128240
Movie,CÃ©line Languedoc,Avan i two ta,0,0.647,0.32,242627
Movie,Henri Salvador,Le Marchand de sable,0,0.993,0.405,176907
Movie,Henri Salvador,L'Ombrelle et le parapluie,0,0.959,0.495,138387
Movie,Leopold Stokowski,"Symphony No. 6 in B minor, Op. 74 'PathÃ©tique': I Adagio - Allegro non troppo",0,0.88,0.142,1029560
Movie,Henri Salvador,Syracuse - Remastered,9,0.502,0.379,174693
Movie,Chorus,Shri Ganesh Beej Mantra,0,0.977,0.373,18800
Movie,Henri Salvador,Dans Mon ÃŽle,3,0.602,0.378,296280
Movie,Henri Salvador,Cheveux dans le vent,0,0.99,0.206,170107
Movie,Martin & les fÃ©es,"Premier voyage (par VÃ©ronique Jannot, Paul Ventimila & Lorie Pester)",2,0.317,0.574,176280
Movie,Chorus,Om Namah Shivaye Chant,0,0.445,0.505,492627
Movie,Karine Costa,Good Bye My Friends,0,0.533,0.522,209960
Movie,Randy Newman,Parenthood (Karen & Gil / Montage),2,0.939,0.192,294667
Movie,Henri Salvador,"J'aime tes g'noux - Shame, Shame, Shame",13,0.221,0.739,231440
Movie,Jean Piat,Tout allait bien jusque-lÃ  dans cet immense couvent,0,0.879,0.751,193760
Movie,Leopold Stokowski,Symphony No.1 In C Major : I. Allegro Vivo,3,0.903,0.394,457747
Movie,Henri Salvador,Bon Ã  rien,0,0.992,0.509,157347
Movie,Idoles De La Musique,Parce qu'on sait jamais,0,0.28,0.756,192278
Movie,Chorus,Odhi is ieron lohon (Ode to Sacred Battalion),0,0.976,0.302,174840
Movie,Chorus,Le sourire d'AnaÃ«lle,0,0.126,0.492,251320
Movie,Henri Salvador,Qh'ech que ch'est qu'cha?,0,0.592,0.689,172907
Movie,Randy Newman,Eliza,0,0.992,0.522,29200
Movie,Henri Salvador,Ciel de Paris,2,0.974,0.271,216840
Movie,Chorus,Yia se ghlikia patridha (For You Sweet Motherland),0,0.994,0.485,105253
Movie,Claire Guyot,Indiciblement,2,0.952,0.306,235915
Movie,Jean Claude Corbel,Les pachydermes,0,0.247,0.538,332417
Movie,Henri Salvador,Le Cid - Remastered,13,0.591,0.601,161507
Movie,Henri Salvador,"Le conteur, Pt. 2",0,0.0575,0.577,21667
Movie,Chorus,Sundar Bate Tabe,0,0.8,0.547,115680
Movie,Jean Claude Corbel,Les charognards,0,0.616,0.686,91301
Movie,Bernard Minet,Dragon Ball et Dragon Ball Z,23,0.316,0.644,169533
Movie,Jodi Benson,God Sees Inside Me,4,0.219,0.362,186000
Movie,Henri Salvador,Re-bonjour,0,0.981,0.605,161747
Movie,Generation B.O.,"Don't Cry For Me Argentina (B.O. ""Evita"")",7,0.6,0.164,341000
Movie,CÃ©line Languedoc,Soley an mwen,0,0.688,0.582,226573
Movie,Chorus,I 25 martiou (The 25th of March),0,0.994,0.617,97867
Movie,Henri Salvador,Le Carosse Blanc - Remastered,8,0.634,0.591,153947
Movie,Lucie Dolene,"Lâ€™amour sâ€™en vient, lâ€™amour sâ€™en va (From ""L'heure Ã©blouissante"")",0,0.864,0.299,169013
Movie,Leopold Stokowski,Symphony No.4 In E Minor Op.98 : II. Andante,0,0.899,0.192,695333
Movie,Dominique Tirmont,Maman si douce,0,0.875,0.407,132880
Movie,Randy Newman,Henry Goes To Work,0,0.737,0.382,115133
Movie,Les HÃ©rissons,Frou Frou,0,0.672,0.839,188688
Movie,Chorus,Hindolam,0,0.74,0.702,341107
Movie,Leopold Stokowski,L'ascension : III. Alleluias On The Trumpet And On The Cymbal,0,0.933,0.375,295827
Movie,Henri Salvador,Le Pingouin - Remastered,5,0.11,0.488,122533
Movie,Henri Salvador,Le clochard,7,0.928,0.505,205160
Movie,Chorus,Mann Biachen,0,0.765,0.644,423160
Movie,Jean Claude Corbel,Aladin 4,0,0.535,0.538,265693
Movie,Anthony Kavanagh,J'Ai Vu Partir,1,0.224,0.726,208973
Movie,Jean Claude Corbel,Le bord de mer,1,0.617,0.557,588301
Movie,Bernard Minet,Dis moi monsieur Bernard Minet,1,0.648,0.649,245773
Movie,Le Club des Juniors,But pour Rudy,9,0.4,0.711,203247
Movie,Chorus,Gia Ke Hara Sou Geronta,0,0.655,0.513,160133
Movie,Jean Piat,Ce fut en vain qu'HÃ©lÃ¨ne de retour dans Albano,0,0.895,0.693,476307
Movie,Bernard Minet,Les filles sont si jolies,1,0.645,0.67,205587
Movie,Chorus,To parelthon ke to mellon (The Past and the Future),0,0.991,0.461,131773
Movie,Leopold Stokowski,Rimsky-Korsakov: Flight of the Bumblebee - Leopold Stokowksi Transcriptions,0,0.945,0.44,82173
Movie,Marie-ThÃ©rÃ¨se Orain,Intacte,0,0.856,0.574,179470
Movie,Dominique Tirmont,Mon beau sapin,0,0.976,0.412,144253
Movie,Randy Newman,"Family Album: Homage to Alfred, Emil and Lionel Newman: I. The Follies: Young and Beautiful",0,0.995,0.512,136120
Movie,Chorus,Tylko ty,0,0.00187,0.61,229507
Movie,Henri Salvador,Ma chÃ¨re et tendre - live,1,0.498,0.338,175280
Movie,Frank Churchill,Snow White and the Seven Dwarfs: Dwarf's Yodel Song (arr. H. Frommermann),0,0.992,0.748,157813
Movie,Leopold Stokowski,Tristan und Isolde (Love Music from Acts II & III),0,0.942,0.0883,1563347
Movie,Anthony Kavanagh,Ton Homme,1,0.0533,0.768,246893
Movie,Henri Salvador,Bon Ã€ Rien,0,0.942,0.548,154240
Movie,Bernard Minet,"Toi, l'avenir du monde",0,0.585,0.646,203964
Movie,Dominique Tirmont,"Aquelos mountagnos ""Se Canto""",0,0.921,0.267,116960
Movie,Anthony Kavanagh,Jamais,4,0.766,0.58,235227
Movie,Chorus,Sukhkarta Dukhharta - Aarti,0,0.483,0.622,253837
Movie,Jean Piat,Le lendemain qui Ã©tait un dimanche,0,0.789,0.669,404267
Movie,Henri Salvador,Toi - live,1,0.649,0.619,196293
Movie,Henri Salvador,Adieu Foulards Adieu Madras,0,0.981,0.471,141177
Movie,Idoles De La Musique,Parler d'amour,0,0.264,0.578,218453
Movie,Leopold Stokowski,Symphony No.4 In E Minor Op.98 : III. Allegro Giocoso Poco Meno Presto,0,0.804,0.339,361933
Movie,Marie-ThÃ©rÃ¨se Orain,J'ai douze ans,0,0.89,0.614,194617
Movie,Henri Salvador,J'aimerais tellement ca,2,0.961,0.358,212784
Movie,Chorus,Tripplestar Camp,0,0.507,0.538,212063
Movie,Henri Salvador,"Armstrong, Duke Ellington, Cab Calloway",0,0.925,0.789,160333
Movie,Michel Roux,MaÃ®tre Pierre : Tableau II - TrÃ¨s illustres docteurs,0,0.983,0.334,297093
Movie,Chorus,Je n'ai pas de problÃ¨me,0,0.00081,0.549,339240
Movie,Henri Salvador,Les yeux des Muchachos,0,0.553,0.673,172627
